community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Bassins,1486,2077,72,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Bassins-coat_of_arms.svg/35px-Bassins-coat_of_arms.svg.png,0.0,8.522727272727272,100.0,41.70454545454545
Coinsins,498,291,171,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Coinsins-coat_of_arms.svg/35px-Coinsins-coat_of_arms.svg.png,0.0,7.061688311688311,100.0,41.41233766233766
Villeneuve (VD),5968,3198,187,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/CHE_Villeneuve_COA.svg/35px-CHE_Villeneuve_COA.svg.png,0.0,6.6558441558441555,100.0,41.33116883116883
Grens,399,255,156,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/CHE_Grens_COA.svg/35px-CHE_Grens_COA.svg.png,0.0,2.823920265780731,100.0,40.564784053156146
Vufflens-le-Château,884,214,413,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/CHE_Vufflens-le-Ch%C3%A2teau_COA.svg/35px-CHE_Vufflens-le-Ch%C3%A2teau_COA.svg.png,0.0,2.7874564459930316,100.0,40.55749128919861
Noville,1169,1039,113,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Noville_COA.svg/35px-CHE_Noville_COA.svg.png,0.0,2.4916943521594686,100.0,40.498338870431894
Poliez-Pittet,846,501,169,Echallens,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Poliez-Pittet.jpg/35px-Poliez-Pittet.jpg,100.0,1.742160278745645,0.0,40.34843205574913
Lully (VD),824,205,402,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/CHE_Lully_VD_COA.svg/35px-CHE_Lully_VD_COA.svg.png,0.0,0.974025974025974,100.0,40.1948051948052
Chessel,528,355,149,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/CHE_Chessel_COA.svg/35px-CHE_Chessel_COA.svg.png,0.0,0.8305647840531563,100.0,40.16611295681063
Bex,8167,9657,85,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/CHE_Bex_COA.svg/35px-CHE_Bex_COA.svg.png,0.0,0.5813953488372093,100.0,40.116279069767444
Clarmont,213,102,209,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Clarmont-coat_of_arms.svg/35px-Clarmont-coat_of_arms.svg.png,0.0,0.5681818181818182,100.0,40.11363636363637
Eysins,1775,238,746,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/CHE_Eysins_COA.svg/35px-CHE_Eysins_COA.svg.png,0.0,0.487012987012987,100.0,40.0974025974026
Bioley-Magnoux,247,429,58,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Bioley-Magnoux-coat_of_arms.svg/35px-Bioley-Magnoux-coat_of_arms.svg.png,100.0,0.4058441558441558,0.0,40.08116883116883
Chigny,419,89,471,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Chigny-coat_of_arms.svg/35px-Chigny-coat_of_arms.svg.png,0.0,0.3246753246753247,100.0,40.064935064935064
Etoy,2931,492,596,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Etoy-coat_of_arms.svg/35px-Etoy-coat_of_arms.svg.png,0.0,0.2435064935064935,100.0,40.048701298701296
Lavigny,1034,400,259,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Lavigny-coat_of_arms.svg/35px-Lavigny-coat_of_arms.svg.png,0.0,0.2435064935064935,100.0,40.048701298701296
Vugelles-La Mothe,137,307,45,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Vugelles-La_Mothe-coat_of_arms.svg/35px-Vugelles-La_Mothe-coat_of_arms.svg.png,100.0,0.16233766233766234,0.0,40.032467532467535
Aclens,557,390,143,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Aclens-coat_of_arms.svg/35px-Aclens-coat_of_arms.svg.png,0.0,0.16233766233766234,100.0,40.032467532467535
Yens,1511,951,159,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/CHE_Yens_COA.svg/35px-CHE_Yens_COA.svg.png,0.0,0.08305647840531562,100.0,40.01661129568107
Lussy-sur-Morges,729,234,312,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Lussy-sur-Morges-coat_of_arms.svg/35px-Lussy-sur-Morges-coat_of_arms.svg.png,0.0,0.08116883116883117,100.0,40.01623376623377
Borex,1139,199,572,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Borex-coat_of_arms.svg/35px-Borex-coat_of_arms.svg.png,0.0,0.08116883116883117,100.0,40.01623376623377
Château-d’Oex,3564,11366,31,Pays-d’Enhaut,Riviera-Pays-d’Enhaut,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/CHE_Ch%C3%A2teau_d%E2%80%99Oex_COA.svg/35px-CHE_Ch%C3%A2teau_d%E2%80%99Oex_COA.svg.png,100.0,0.0,0.0,40.0
La Rippe,1200,1659,72,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/La_Rippe-coat_of_arms.svg/35px-La_Rippe-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Chavannes-de-Bogis,1340,286,469,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Chavannes-de-Bogis-coat_of_arms.svg/35px-Chavannes-de-Bogis-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Lussery-Villars,482,374,129,Cossonay,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Lussery-Villars-coat_of_arms.svg/35px-Lussery-Villars-coat_of_arms.svg.png,100.0,0.0,0.0,40.0
Le Vaud,1403,311,451,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Le_Vaud-coat_of_arms.svg/35px-Le_Vaud-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Le Mont-sur-Lausanne,9291,980,948,Lausanne,Lausanne,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Le_Mont-sur-Lausanne-coat_of_arms.svg/35px-Le_Mont-sur-Lausanne-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Lausanne,141418,4138,3418,Lausanne,Lausanne,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/CHE_Lausanne_COA.svg/35px-CHE_Lausanne_COA.svg.png,0.0,0.0,100.0,40.0
Gryon,1387,1522,91,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/CHE_Gryon_COA.svg/35px-CHE_Gryon_COA.svg.png,0.0,0.0,100.0,40.0
Nyon,22465,680,3304,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/CHE_Nyon_COA.svg/35px-CHE_Nyon_COA.svg.png,0.0,0.0,100.0,40.0
Bremblens,606,291,208,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Bremblens-coat_of_arms.svg/35px-Bremblens-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Gingins,1266,1256,101,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Gingins-coat_of_arms.svg/35px-Gingins-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Buchillon,674,210,321,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Buchillon-coat_of_arms.svg/35px-Buchillon-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Founex,3775,479,788,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Founex-coat_of_arms.svg/35px-Founex-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Epalinges,9822,457,2149,Lausanne,Lausanne,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Epalinges-coat_of_arms.svg/35px-Epalinges-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Echichens,3208,1327,242,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Echichens-coat_of_arms.svg/35px-Echichens-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Echandens,2895,388,746,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Echandens-coat_of_arms.svg/35px-Echandens-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Morges,17529,383,4577,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Morges_COA.svg/35px-CHE_Morges_COA.svg.png,0.0,0.0,100.0,40.0
Prangins,4278,607,705,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Prangins-coat_of_arms.svg/35px-Prangins-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Denges,1774,166,1069,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Denges-coat_of_arms.svg/35px-Denges-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Saint-Sulpice (VD),5046,186,2713,Morges,Ouest lausannois,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Saint-Sulpice-coat_of_arms.svg/35px-Saint-Sulpice-coat_of_arms.svg.png,100.0,0.0,0.0,40.0
Vullierens,561,684,82,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Vullierens-coat_of_arms.svg/35px-Vullierens-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
Aigle,10913,1641,665,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Aigle_COA.svg/35px-CHE_Aigle_COA.svg.png,0.0,0.0,100.0,40.0
Arnex-sur-Nyon,243,204,119,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Arnex-sur-Nyon-coat_of_arms.svg/35px-Arnex-sur-Nyon-coat_of_arms.svg.png,0.0,0.0,100.0,40.0
