6. Population résidante permanente par classe d'âges quinquennale, sexe, origine, district et commune, Vaud, 2017-2022

Page by:
Année: 2022
Sexe: Total
Origine: Total


"District (actuel)","Metrics",,"Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12"
 ,"Commune d'annonce (actuelle)",,"Total","0 à 4 ans","5 à 9 ans","10 à 14 ans","15 à 19 ans","20 à 24 ans","25 à 29 ans","30 à 34 ans","35 à 39 ans","40 à 44 ans","45 à 49 ans","50 à 54 ans","55 à 59 ans","60 à 64 ans","65 à 69 ans","70 à 74 ans","75 à 79 ans","80 à 84 ans","85 à 89 ans","90 à 94 ans","95 à 99 ans","100 ans et +"
"Jura-Nord vaudois","Montcherand","5756","496","22","24","41","41","19","17","33","38","34","44","34","47","30","26","15","15","5","7","4","0","0"
"Jura-Nord vaudois","Orbe","5757","7,617","464","443","429","397","493","526","630","586","550","490","496","496","434","294","300","248","160","103","61","15","2"
"Jura-Nord vaudois","La Praz","5758","183","10","11","7","5","5","8","17","16","12","8","15","19","13","19","7","6","4","1","0","0","0"
"Jura-Nord vaudois","Premier","5759","236","11","19","18","9","0","9","11","14","29","16","13","7","19","25","10","15","5","3","3","0","0"
"Jura-Nord vaudois","Rances","5760","521","24","34","18","28","45","21","37","31","26","37","36","48","38","31","21","24","11","7","3","1","0"
"Jura-Nord vaudois","Romainmôtier-Envy","5761","559","26","33","33","34","22","21","26","40","49","50","36","35","48","32","33","20","10","7","3","1","0"
"Jura-Nord vaudois","Sergey","5762","140","7","4","13","10","10","6","10","7","10","14","10","12","10","8","3","3","2","0","1","0","0"
"Jura-Nord vaudois","Valeyres-sous-Rances","5763","606","23","42","44","31","24","36","32","42","50","48","43","40","42","40","28","17","9","7","7","1","0"
"Jura-Nord vaudois","Vallorbe","5764","3,987","233","250","225","207","203","271","269","263","295","258","290","271","244","212","151","142","95","65","36","6","1"
"Jura-Nord vaudois","Vaulion","5765","483","17","30","29","19","24","26","37","39","38","36","26","31","34","37","31","13","4","7","4","1","0"
"Jura-Nord vaudois","Vuiteboeuf","5766","592","33","31","34","36","36","48","47","39","40","31","43","53","35","34","24","13","8","2","3","1","1"
"Jura-Nord vaudois","L'Abbaye","5871","1,534","76","83","80","66","60","84","89","91","96","96","95","103","116","132","102","81","36","27","17","2","2"
"Jura-Nord vaudois","Le Chenit","5872","4,613","232","223","260","233","234","224","271","299","310","319","343","297","311","246","252","232","161","97","55","11","3"
"Jura-Nord vaudois","Le Lieu","5873","886","48","40","49","45","36","38","55","54","57","66","64","53","63","64","51","46","26","20","10","1","0"
"Jura-Nord vaudois","Belmont-sur-Yverdon","5902","434","27","24","36","16","20","16","30","40","33","40","31","35","33","16","14","11","4","5","2","1","0"
"Jura-Nord vaudois","Bioley-Magnoux","5903","247","16","24","7","6","8","10","19","19","20","10","16","10","19","23","17","11","3","5","2","2","0"
"Jura-Nord vaudois","Chamblon","5904","567","30","29","23","22","34","36","36","45","37","30","34","55","41","44","31","24","9","3","3","1","0"
"Jura-Nord vaudois","Champvent","5905","734","43","59","43","42","38","47","55","54","68","44","54","45","38","26","34","21","12","8","1","2","0"
"Jura-Nord vaudois","Chavannes-le-Chêne","5907","316","16","17","24","13","16","22","32","20","19","15","19","16","27","20","13","14","4","7","2","0","0"
"Jura-Nord vaudois","Chêne-Pâquier","5908","163","17","19","2","5","4","7","17","16","11","7","10","11","12","5","10","3","4","2","0","1","0"
"Jura-Nord vaudois","Cheseaux-Noréaz","5909","734","28","33","51","59","53","39","20","42","36","58","55","54","48","44","38","32","22","15","4","3","0"
"Jura-Nord vaudois","Cronay","5910","410","32","31","22","17","9","13","37","38","24","20","26","21","30","33","24","15","11","4","3","0","0"
"Jura-Nord vaudois","Cuarny","5911","236","13","17","10","11","7","12","24","19","14","11","16","24","14","17","13","5","6","2","0","1","0"
"Jura-Nord vaudois","Démoret","5912","167","24","13","4","1","6","12","14","22","6","3","5","13","12","15","5","4","3","1","4","0","0"
"Jura-Nord vaudois","Donneloye","5913","905","67","66","54","59","40","58","71","73","58","56","66","56","46","40","32","23","19","12","8","1","0"
"Jura-Nord vaudois","Ependes","5914","372","26","26","17","23","14","21","31","28","18","37","24","28","23","14","10","19","9","2","1","1","0"
"Jura-Nord vaudois","Mathod","5919","684","40","36","31","46","43","57","67","58","36","40","49","50","40","27","26","18","7","7","4","2","0"
"Jura-Nord vaudois","Molondin","5921","257","18","19","11","7","15","14","22","22","9","19","22","13","16","13","10","16","5","3","2","0","1"
"Jura-Nord vaudois","Montagny-près-Yverdon","5922","770","37","34","48","62","43","31","60","63","51","49","56","56","44","47","27","25","12","15","10","0","0"
"Jura-Nord vaudois","Orges","5924","407","27","29","28","19","26","33","32","35","38","30","25","21","23","11","9","14","3","4","0","0","0"
"Jura-Nord vaudois","Orzens","5925","212","13","7","14","8","12","13","15","8","15","12","10","14","25","12","11","8","3","9","3","0","0"
"Jura-Nord vaudois","Pomy","5926","868","56","63","57","53","64","32","67","59","69","51","86","58","36","39","18","32","10","12","6","0","0"
"Jura-Nord vaudois","Rovray","5928","197","15","25","9","9","5","6","15","17","22","16","11","6","8","8","9","11","4","1","0","0","0"
"Jura-Nord vaudois","Suchy","5929","671","37","45","55","41","37","43","47","51","75","53","53","41","24","26","15","13","10","3","2","0","0"
"Jura-Nord vaudois","Suscévaz","5930","220","16","12","16","17","7","12","8","15","15","15","15","13","12","8","12","17","4","4","1","1","0"
"Jura-Nord vaudois","Treycovagnes","5931","520","31","28","28","30","32","27","31","40","37","35","38","51","34","28","19","14","8","5","3","1","0"
"Jura-Nord vaudois","Ursins","5932","230","15","16","12","7","12","16","17","18","11","15","21","16","11","13","8","12","7","1","2","0","0"
"Jura-Nord vaudois","Valeyres-sous-Montagny","5933","703","27","46","39","35","37","37","38","41","41","49","43","73","62","36","36","28","17","11","7","0","0"
"Jura-Nord vaudois","Valeyres-sous-Ursins","5934","241","10","10","11","14","21","9","9","7","14","17","22","20","17","10","13","20","8","6","2","1","0"
"Jura-Nord vaudois","Villars-Epeney","5935","92","4","6","6","5","2","6","11","6","3","3","6","16","5","3","6","3","0","1","0","0","0"
"Jura-Nord vaudois","Vugelles-La Mothe","5937","137","8","7","13","9","6","4","7","11","7","8","16","14","8","8","3","2","4","2","0","0","0"
"Jura-Nord vaudois","Yverdon-les-Bains","5938","29,877","1,568","1,647","1,726","1,629","1,720","2,169","2,155","2,123","2,136","2,038","2,005","1,896","1,659","1,314","1,205","1,166","783","575","288","64","11"
"Jura-Nord vaudois","Yvonand","5939","3,531","174","195","237","206","203","199","248","206","240","245","233","263","219","171","149","151","83","50","43","16","0"
"Lausanne","Cheseaux-sur-Lausanne","5582","4,525","203","247","261","255","246","282","314","334","338","331","334","322","261","212","172","194","114","65","33","7","0"
"Lausanne","Epalinges","5584","9,825","459","564","557","644","878","578","625","577","708","677","638","663","552","441","353","387","244","176","87","16","1"
"Lausanne","Jouxtens-Mézery","5585","1,468","52","95","80","88","110","71","55","75","93","87","107","128","102","83","88","77","43","18","15","1","0"
"Lausanne","Lausanne","5586","141,513","7,088","6,786","6,412","7,110","9,597","13,021","14,185","12,251","10,865","9,642","9,028","8,368","6,817","5,073","4,376","4,122","3,089","2,137","1,150","354","42"
"Lausanne","Le Mont-sur-Lausanne","5587","9,297","572","642","620","549","472","561","673","699","813","695","637","581","413","307","288","325","205","143","82","18","2"
"Lausanne","Romanel-sur-Lausanne","5592","3,798","250","182","173","189","233","302","334","247","229","253","263","251","213","168","179","167","89","42","28","5","1"
"Lavaux-Oron","Belmont-sur-Lausanne","5581","3,835","196","198","247","261","211","172","233","257","292","294","315","321","253","175","122","141","77","47","19","4","0"
"Lavaux-Oron","Paudex","5588","1,550","85","62","83","55","58","91","126","129","117","115","100","101","90","63","93","91","50","22","15","4","0"
"Lavaux-Oron","Pully","5590","19,005","928","946","967","989","943","980","1,249","1,381","1,380","1,401","1,317","1,266","1,085","835","833","955","755","504","227","55","9"
"Lavaux-Oron","Chexbres","5601","2,204","95","96","140","137","101","97","130","144","155","163","159","177","116","108","89","107","78","56","41","13","2"
"Lavaux-Oron","Forel (Lavaux)","5604","2,067","138","117","127","91","100","74","127","176","152","166","143","171","130","96","103","83","44","23","4","2","0"
"Lavaux-Oron","Lutry","5606","10,713","534","539","507","525","510","497","690","726","724","755","790","800","696","543","541","545","352","239","143","46","11"
"Lavaux-Oron","Puidoux","5607","2,991","144","167","179","171","172","172","229","241","218","241","233","243","152","135","108","84","50","36","12","4","0"
"Lavaux-Oron","Rivaz","5609","332","17","13","7","12","25","19","24","25","18","15","32","32","24","13","10","14","17","11","3","1","0"
"Lavaux-Oron","St-Saphorin (Lavaux)","5610","402","15","24","19","27","28","15","31","29","35","38","39","24","12","16","19","17","6","7","1","0","0"
"Lavaux-Oron","Savigny","5611","3,421","155","204","196","177","203","142","200","235","225","253","251","251","248","190","180","137","92","53","23","3","3"
"Lavaux-Oron","Bourg-en-Lavaux","5613","5,389","261","237","289","281","255","232","347","316","378","428","397","436","373","297","293","266","156","96","37","13","1"
"Lavaux-Oron","Maracon","5790","544","30","29","41","28","23","24","39","34","40","42","35","45","45","37","19","18","8","5","2","0","0"
"Lavaux-Oron","Montpreveyres","5792","661","44","32","32","53","56","23","43","50","47","55","46","61","43","25","19","12","9","8","1","2","0"
"Lavaux-Oron","Servion","5799","2,136","129","135","117","129","93","98","121","149","166","167","157","174","143","106","79","86","46","26","10","5","0"
"Lavaux-Oron","Oron","5805","6,119","338","378","383","366","310","376","456","415","442","415","449","418","369","285","247","194","119","88","53","11","7"
"Lavaux-Oron","Jorat-Mézières","5806","3,110","166","192","203","196","181","159","165","236","246","223","239","208","173","177","131","95","66","37","15","1","1"
"Morges","Aubonne","5422","3,792","167","207","244","221","222","198","214","249","284","302","342","266","231","185","147","133","99","43","23","12","3"
"Morges","Ballens","5423","590","34","27","29","45","35","35","52","36","29","52","40","40","31","26","22","27","13","10","6","1","0"
"Morges","Berolle","5424","303","14","15","19","15","25","17","20","18","22","23","18","31","24","9","14","5","12","1","1","0","0"
"Morges","Bière","5425","1,683","81","90","106","95","100","112","103","115","122","141","127","106","93","68","68","72","38","25","12","8","1"
"Morges","Bougy-Villars","5426","506","19","21","26","33","31","26","33","27","24","33","49","49","33","29","26","25","13","7","2","0","0"
