"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"14";"Wettswil am Albis";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";117836;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"21";"Adlikon";"Steuerbares Einkommen, in Mio. Franken";25;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"21";"Adlikon";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";77621;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"22";"Benken (ZH)";"Steuerbares Einkommen, in Mio. Franken";34;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"22";"Benken (ZH)";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";86625;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"23";"Berg am Irchel";"Steuerbares Einkommen, in Mio. Franken";36;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"23";"Berg am Irchel";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";114529;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"24";"Buch am Irchel";"Steuerbares Einkommen, in Mio. Franken";37;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"24";"Buch am Irchel";"Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken";83094;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
"25";"Dachsen";"Steuerbares Einkommen, in Mio. Franken";75;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27598";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27598_de.html"
